"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2025","29,400.0","29,600.0","29,700.0","29,400.0","697.80K","-0.17%"
"19/09/2025","29,450.0","30,300.0","30,600.0","29,450.0","7.32M","-2.48%"
"18/09/2025","30,200.0","30,050.0","31,500.0","30,050.0","6.79M","0.00%"
"17/09/2025","30,200.0","30,550.0","30,900.0","30,200.0","4.13M","-1.31%"
"16/09/2025","30,600.0","30,950.0","31,100.0","30,600.0","2.80M","-0.16%"
"15/09/2025","30,650.0","30,750.0","31,100.0","30,550.0","3.04M","-0.33%"
"12/09/2025","30,750.0","31,100.0","31,300.0","30,600.0","2.64M","-1.13%"
"11/09/2025","31,100.0","30,600.0","31,750.0","30,250.0","4.98M","1.63%"
"10/09/2025","30,600.0","30,450.0","30,600.0","30,050.0","2.72M","0.99%"
"09/09/2025","30,300.0","30,300.0","30,550.0","30,100.0","2.92M","0.00%"
"08/09/2025","30,300.0","30,300.0","30,850.0","30,250.0","4.19M","0.00%"
"05/09/2025","30,300.0","30,300.0","31,200.0","30,150.0","7.49M","0.00%"
"04/09/2025","30,300.0","30,400.0","30,400.0","29,900.0","4.32M","0.50%"
"03/09/2025","30,150.0","30,000.0","30,300.0","29,900.0","6.89M","-0.82%"
"29/08/2025","30,400.0","30,500.0","30,750.0","30,000.0","9.89M","-0.98%"
"28/08/2025","30,700.0","30,600.0","30,750.0","30,000.0","5.27M","0.33%"
"27/08/2025","30,600.0","31,250.0","31,300.0","30,550.0","4.51M","-2.24%"
"26/08/2025","31,300.0","30,200.0","31,700.0","29,850.0","8.90M","4.33%"
"25/08/2025","30,000.0","30,100.0","30,800.0","29,400.0","6.46M","0.00%"
"22/08/2025","30,000.0","29,850.0","30,100.0","28,650.0","10.65M","-1.32%"
"21/08/2025","30,400.0","30,000.0","30,500.0","29,500.0","7.60M","1.33%"
"20/08/2025","30,000.0","29,900.0","30,700.0","29,400.0","11.05M","0.17%"
"19/08/2025","29,950.0","29,500.0","29,950.0","29,200.0","8.36M","0.00%"
"18/08/2025","29,950.0","30,200.0","30,200.0","29,300.0","4.72M","-1.16%"
"15/08/2025","30,300.0","30,250.0","31,400.0","29,550.0","8.62M","0.50%"
"14/08/2025","30,150.0","29,500.0","30,400.0","29,100.0","8.27M","2.38%"
"13/08/2025","29,450.0","29,450.0","29,650.0","28,650.0","7.52M","0.00%"
"12/08/2025","29,450.0","29,350.0","29,750.0","29,350.0","4.35M","0.34%"
"11/08/2025","29,350.0","29,650.0","29,900.0","29,300.0","4.09M","-2.17%"
"08/08/2025","30,000.0","29,600.0","30,250.0","29,200.0","8.29M","-1.64%"
"07/08/2025","30,500.0","30,100.0","30,500.0","29,200.0","6.15M","1.33%"
"06/08/2025","30,100.0","30,800.0","30,900.0","29,850.0","4.81M","-2.75%"
"05/08/2025","30,950.0","29,350.0","31,000.0","29,000.0","12.35M","6.36%"
"04/08/2025","29,100.0","28,400.0","29,150.0","28,300.0","4.25M","2.28%"
"01/08/2025","28,450.0","27,900.0","28,500.0","27,750.0","3.12M","1.25%"
"31/07/2025","28,100.0","27,600.0","28,400.0","27,550.0","5.57M","0.00%"
"30/07/2025","28,100.0","27,850.0","28,300.0","27,000.0","6.23M","0.36%"
"29/07/2025","28,000.0","29,400.0","29,500.0","28,000.0","8.02M","-4.60%"
"28/07/2025","29,350.0","29,800.0","29,800.0","29,100.0","4.28M","-0.51%"
"25/07/2025","29,500.0","29,300.0","29,800.0","29,100.0","2.34M","-1.01%"
"24/07/2025","29,800.0","29,300.0","29,800.0","28,450.0","4.63M","1.88%"
"23/07/2025","29,250.0","30,000.0","30,000.0","29,250.0","4.01M","-2.50%"
"22/07/2025","30,000.0","28,750.0","30,000.0","28,500.0","5.09M","3.45%"
"21/07/2025","29,000.0","29,450.0","29,450.0","28,800.0","5.26M","-1.53%"
"18/07/2025","29,450.0","29,800.0","30,300.0","29,050.0","3.90M","-1.01%"
"17/07/2025","29,750.0","28,850.0","29,950.0","28,500.0","8.81M","3.30%"
"16/07/2025","28,800.0","28,050.0","28,800.0","27,950.0","5.86M","2.31%"
"15/07/2025","28,150.0","28,500.0","28,600.0","28,050.0","4.65M","-1.75%"
"14/07/2025","28,650.0","28,900.0","29,100.0","27,950.0","6.66M","0.17%"
"11/07/2025","28,600.0","28,700.0","28,900.0","28,050.0","7.70M","0.53%"
"10/07/2025","28,450.0","27,000.0","28,500.0","27,000.0","13.96M","6.16%"
"09/07/2025","26,800.0","26,000.0","26,800.0","25,750.0","7.76M","3.88%"
"08/07/2025","25,800.0","25,700.0","25,800.0","25,350.0","3.44M","1.18%"
"07/07/2025","25,500.0","25,200.0","25,600.0","25,100.0","3.75M","1.39%"
"04/07/2025","25,150.0","25,100.0","25,500.0","25,050.0","4.59M","0.40%"
"03/07/2025","25,050.0","25,200.0","25,200.0","24,750.0","6.86M","-0.60%"
"02/07/2025","25,200.0","24,800.0","25,350.0","24,600.0","3.83M","1.61%"
"01/07/2025","24,800.0","24,650.0","24,800.0","24,450.0","2.54M","0.61%"
"30/06/2025","24,650.0","24,800.0","24,950.0","24,550.0","3.08M","-0.60%"
"27/06/2025","24,800.0","24,500.0","24,800.0","24,350.0","3.69M","1.22%"
"26/06/2025","24,500.0","24,700.0","24,800.0","24,500.0","2.34M","-0.61%"
"25/06/2025","24,650.0","24,950.0","25,250.0","24,650.0","4.19M","-1.00%"
"24/06/2025","24,900.0","25,100.0","25,300.0","24,800.0","5.02M","0.61%"
"23/06/2025","24,750.0","24,300.0","25,100.0","23,800.0","6.22M","0.61%"
"20/06/2025","24,600.0","24,700.0","24,700.0","24,250.0","3.84M","-0.40%"
"19/06/2025","24,700.0","24,500.0","24,900.0","24,400.0","3.16M","0.20%"
"18/06/2025","24,650.0","24,550.0","24,800.0","24,400.0","2.18M","0.41%"
"17/06/2025","24,550.0","24,500.0","25,500.0","24,450.0","4.82M","0.20%"
"16/06/2025","24,500.0","24,550.0","24,650.0","24,100.0","4.65M","-0.20%"
"13/06/2025","24,550.0","24,800.0","25,000.0","23,800.0","8.13M","-2.58%"
"12/06/2025","25,200.0","26,200.0","26,300.0","25,200.0","4.81M","-3.45%"
"11/06/2025","26,100.0","26,500.0","26,500.0","25,450.0","5.46M","-1.51%"
"10/06/2025","26,500.0","25,000.0","26,500.0","24,950.0","8.42M","3.72%"
"09/06/2025","25,550.0","26,100.0","26,400.0","25,550.0","6.91M","-3.58%"
"06/06/2025","26,500.0","26,500.0","26,850.0","26,400.0","6.87M","-1.85%"
"05/06/2025","27,000.0","26,800.0","27,000.0","26,400.0","6.68M","0.19%"
"04/06/2025","26,950.0","26,200.0","27,000.0","26,200.0","8.61M","1.70%"
"03/06/2025","26,500.0","26,450.0","27,000.0","26,100.0","8.76M","-0.75%"
"02/06/2025","26,700.0","27,100.0","27,350.0","26,250.0","9.43M","-2.91%"
"30/05/2025","27,500.0","27,650.0","27,700.0","27,000.0","9.13M","-0.54%"
"29/05/2025","27,650.0","26,800.0","27,700.0","26,800.0","16.07M","3.56%"
"28/05/2025","26,700.0","25,550.0","26,800.0","25,350.0","16.72M","5.53%"
"27/05/2025","25,300.0","25,500.0","25,750.0","25,250.0","11.53M","-0.78%"
"26/05/2025","25,500.0","25,600.0","25,650.0","24,500.0","8.73M","-0.58%"
"23/05/2025","25,650.0","25,300.0","26,100.0","25,150.0","10.96M","1.18%"
"22/05/2025","25,350.0","25,650.0","26,050.0","25,100.0","13.50M","-1.55%"
"21/05/2025","25,750.0","26,200.0","26,300.0","25,350.0","10.76M","-0.19%"
"20/05/2025","25,800.0","24,750.0","25,900.0","24,700.0","15.40M","4.24%"
"19/05/2025","24,750.0","24,500.0","25,200.0","24,250.0","10.04M","1.02%"
"16/05/2025","24,500.0","24,100.0","24,550.0","23,600.0","13.25M","1.45%"
"15/05/2025","24,150.0","24,500.0","24,500.0","23,000.0","28.93M","-2.23%"
"14/05/2025","24,700.0","24,950.0","25,500.0","24,350.0","12.16M","-2.76%"
"13/05/2025","25,400.0","25,500.0","25,500.0","24,750.0","11.59M","-0.39%"
"12/05/2025","25,500.0","25,000.0","25,600.0","24,850.0","6.97M","2.00%"
"09/05/2025","25,000.0","24,800.0","25,100.0","24,700.0","8.06M","0.00%"
"08/05/2025","25,000.0","24,800.0","25,600.0","24,650.0","8.07M","0.40%"
"07/05/2025","24,900.0","24,850.0","24,950.0","24,550.0","10.30M","0.00%"
"06/05/2025","24,900.0","24,950.0","24,950.0","24,400.0","14.30M","0.00%"
"05/05/2025","24,900.0","23,550.0","24,900.0","23,450.0","13.89M","5.29%"
"29/04/2025","23,650.0","22,900.0","23,950.0","22,200.0","19.41M","2.38%"
"28/04/2025","23,100.0","22,800.0","23,500.0","22,550.0","14.34M","1.32%"
"25/04/2025","22,800.0","22,800.0","22,850.0","22,300.0","18.92M","0.00%"
"24/04/2025","22,800.0","22,000.0","23,100.0","21,800.0","16.54M","3.87%"
"23/04/2025","21,950.0","20,950.0","22,000.0","20,700.0","26.86M","6.55%"
"22/04/2025","20,600.0","20,350.0","20,600.0","19,300.0","19.58M","0.98%"
"21/04/2025","20,400.0","20,050.0","20,650.0","20,050.0","13.36M","0.00%"
"18/04/2025","20,400.0","20,450.0","21,000.0","19,550.0","19.00M","0.00%"
"17/04/2025","20,400.0","20,250.0","20,600.0","20,100.0","9.66M","0.00%"
"16/04/2025","20,400.0","20,200.0","21,100.0","20,150.0","19.67M","0.49%"
"15/04/2025","20,300.0","20,300.0","20,700.0","19,950.0","19.24M","0.00%"
"14/04/2025","20,300.0","19,500.0","20,350.0","19,250.0","18.45M","4.64%"
"11/04/2025","19,400.0","19,100.0","19,600.0","18,850.0","16.43M","0.78%"
"10/04/2025","19,250.0","19,250.0","19,250.0","19,250.0","1.89M","6.94%"
"09/04/2025","18,000.0","16,500.0","18,350.0","16,500.0","24.61M","2.86%"
"08/04/2025","17,500.0","18,000.0","18,150.0","17,500.0","20.76M","-6.91%"
"04/04/2025","18,800.0","17,450.0","18,800.0","17,450.0","27.12M","0.27%"
"03/04/2025","18,750.0","19,300.0","19,600.0","18,750.0","18.59M","-6.95%"
"02/04/2025","20,150.0","20,200.0","20,550.0","19,900.0","22.99M","0.75%"
"01/04/2025","20,000.0","19,350.0","20,100.0","19,250.0","16.46M","4.44%"
"31/03/2025","19,150.0","19,300.0","19,450.0","19,050.0","11.54M","-1.79%"
"28/03/2025","19,500.0","19,600.0","19,650.0","19,350.0","9.35M","-0.76%"
"27/03/2025","19,650.0","19,950.0","20,050.0","19,600.0","9.65M","-1.50%"
"26/03/2025","19,950.0","19,950.0","20,150.0","19,750.0","22.38M","0.76%"
"25/03/2025","19,800.0","19,200.0","20,300.0","19,100.0","30.91M","3.39%"
"24/03/2025","19,150.0","18,450.0","19,200.0","18,400.0","19.77M","3.79%"
"21/03/2025","18,450.0","18,400.0","18,500.0","18,150.0","9.85M","0.27%"
"20/03/2025","18,400.0","18,500.0","18,750.0","18,300.0","3.61M","-0.27%"
"19/03/2025","18,450.0","18,350.0","18,500.0","18,100.0","11.51M","0.00%"
"18/03/2025","18,450.0","18,700.0","18,800.0","18,400.0","12.49M","-1.34%"
"17/03/2025","18,700.0","18,650.0","18,800.0","18,600.0","9.39M","-0.27%"
"14/03/2025","18,750.0","18,900.0","19,100.0","18,700.0","11.42M","-0.27%"
"13/03/2025","18,800.0","18,300.0","19,200.0","18,250.0","29.81M","2.73%"
"12/03/2025","18,300.0","18,200.0","18,450.0","18,150.0","11.79M","0.55%"
"11/03/2025","18,200.0","17,900.0","18,250.0","17,700.0","8.11M","-0.27%"
"10/03/2025","18,250.0","18,350.0","18,450.0","18,200.0","8.70M","0.27%"
"07/03/2025","18,200.0","17,850.0","18,500.0","17,800.0","16.87M","1.96%"
"06/03/2025","17,850.0","17,750.0","17,950.0","17,650.0","7.17M","0.56%"
"05/03/2025","17,750.0","17,700.0","18,050.0","17,600.0","12.71M","0.28%"
"04/03/2025","17,700.0","17,600.0","17,800.0","17,550.0","11.25M","0.00%"
"03/03/2025","17,700.0","17,350.0","17,950.0","17,350.0","12.11M","1.72%"
"28/02/2025","17,400.0","17,250.0","17,650.0","17,200.0","11.42M","1.16%"
"27/02/2025","17,200.0","17,150.0","17,200.0","16,900.0","8.01M","0.29%"
"26/02/2025","17,150.0","17,250.0","17,350.0","17,000.0","5.28M","-0.58%"
"25/02/2025","17,250.0","17,400.0","17,500.0","17,250.0","5.84M","-0.58%"
"24/02/2025","17,350.0","17,200.0","17,350.0","17,100.0","7.30M","0.58%"
"21/02/2025","17,250.0","17,350.0","17,400.0","17,100.0","8.87M","-0.58%"
"20/02/2025","17,350.0","17,250.0","17,450.0","17,250.0","10.81M","0.87%"
"19/02/2025","17,200.0","16,900.0","17,300.0","16,800.0","11.28M","2.08%"
"18/02/2025","16,850.0","16,500.0","17,050.0","16,450.0","10.88M","2.43%"
"17/02/2025","16,450.0","16,600.0","16,700.0","16,400.0","6.73M","-0.90%"
"14/02/2025","16,600.0","16,700.0","16,800.0","16,550.0","5.34M","-0.30%"
"13/02/2025","16,650.0","16,400.0","16,700.0","16,400.0","4.32M","1.52%"
"12/02/2025","16,400.0","16,550.0","16,600.0","16,400.0","2.71M","0.00%"
"11/02/2025","16,400.0","16,600.0","16,600.0","16,300.0","6.50M","-1.20%"
"10/02/2025","16,600.0","16,700.0","16,750.0","16,550.0","5.38M","-1.48%"
"07/02/2025","16,850.0","16,650.0","16,900.0","16,600.0","6.19M","0.90%"
"06/02/2025","16,700.0","16,900.0","16,900.0","16,700.0","3.81M","-0.89%"
"05/02/2025","16,850.0","16,350.0","17,100.0","16,350.0","13.55M","3.37%"
"04/02/2025","16,300.0","16,300.0","16,400.0","16,200.0","4.43M","0.00%"
"03/02/2025","16,300.0","16,500.0","16,500.0","16,150.0","6.10M","-1.51%"
"24/01/2025","16,550.0","16,450.0","16,650.0","16,300.0","5.33M","0.61%"
"23/01/2025","16,450.0","16,200.0","16,500.0","16,200.0","4.63M","0.92%"
"22/01/2025","16,300.0","16,600.0","16,600.0","16,300.0","3.21M","-1.81%"
"21/01/2025","16,600.0","16,750.0","16,750.0","16,500.0","3.53M","0.00%"
"20/01/2025","16,600.0","16,500.0","16,850.0","16,500.0","6.90M","0.30%"
"17/01/2025","16,550.0","16,500.0","16,600.0","16,450.0","4.43M","0.00%"
"16/01/2025","16,550.0","16,350.0","16,700.0","16,350.0","6.72M","0.30%"
"15/01/2025","16,500.0","16,200.0","16,500.0","16,100.0","8.23M","2.48%"
"14/01/2025","16,100.0","16,650.0","16,650.0","16,100.0","6.58M","-3.59%"
"13/01/2025","16,700.0","16,800.0","16,850.0","16,500.0","4.77M","-0.89%"
"10/01/2025","16,850.0","17,000.0","17,050.0","16,650.0","8.90M","-0.88%"
"09/01/2025","17,000.0","16,900.0","17,150.0","16,800.0","3.34M","0.29%"
"08/01/2025","16,950.0","16,900.0","16,950.0","16,800.0","3.27M","0.00%"
"07/01/2025","16,950.0","17,050.0","17,150.0","16,800.0","7.22M","-1.17%"
"06/01/2025","17,150.0","17,200.0","17,250.0","17,000.0","4.48M","-0.29%"
"03/01/2025","17,200.0","17,350.0","17,450.0","17,150.0","2.70M","-0.58%"
"02/01/2025","17,300.0","17,200.0","17,450.0","17,200.0","6.92M","0.87%"
"31/12/2024","17,150.0","17,050.0","17,300.0","17,050.0","4.65M","0.00%"
"30/12/2024","17,150.0","17,050.0","17,150.0","17,000.0","5.68M","0.00%"
"27/12/2024","17,150.0","17,200.0","17,250.0","17,000.0","5.87M","0.00%"
"26/12/2024","17,150.0","17,350.0","17,450.0","17,150.0","3.73M","-0.87%"
"25/12/2024","17,300.0","17,050.0","17,500.0","17,050.0","9.44M","1.47%"
"24/12/2024","17,050.0","17,050.0","17,100.0","16,900.0","6.94M","0.00%"
"23/12/2024","17,050.0","17,150.0","17,200.0","17,000.0","4.98M","0.00%"
"20/12/2024","17,050.0","17,050.0","17,150.0","17,000.0","3.57M","0.00%"
"19/12/2024","17,050.0","17,050.0","17,250.0","16,950.0","6.41M","-0.29%"
"18/12/2024","17,100.0","17,150.0","17,200.0","17,100.0","4.50M","-0.29%"
"17/12/2024","17,150.0","17,300.0","17,350.0","17,100.0","5.73M","-0.87%"
"16/12/2024","17,300.0","17,350.0","17,450.0","17,200.0","3.47M","-0.29%"
"13/12/2024","17,350.0","17,300.0","17,400.0","17,200.0","3.57M","0.29%"
"12/12/2024","17,300.0","17,500.0","17,500.0","17,300.0","4.41M","-0.29%"
"11/12/2024","17,350.0","17,600.0","17,650.0","17,350.0","8.25M","-1.14%"
"10/12/2024","17,550.0","17,700.0","17,800.0","17,500.0","4.54M","-0.85%"
"09/12/2024","17,700.0","17,700.0","17,850.0","17,700.0","4.68M","0.00%"
"06/12/2024","17,700.0","17,750.0","17,900.0","17,650.0","6.19M","-0.84%"
"05/12/2024","17,850.0","17,400.0","17,900.0","17,350.0","6.62M","3.18%"
"04/12/2024","17,300.0","17,650.0","17,700.0","17,200.0","10.72M","-2.26%"
"03/12/2024","17,700.0","17,850.0","17,850.0","17,700.0","4.71M","-0.84%"
"02/12/2024","17,850.0","17,900.0","18,000.0","17,700.0","7.00M","-0.28%"
"29/11/2024","17,900.0","17,950.0","18,000.0","17,800.0","7.80M","-0.56%"
"28/11/2024","18,000.0","18,250.0","18,250.0","17,900.0","5.08M","-0.55%"
"27/11/2024","18,100.0","18,300.0","18,350.0","18,050.0","3.68M","-1.09%"
"26/11/2024","18,300.0","18,250.0","18,450.0","18,200.0","4.40M","0.27%"
"25/11/2024","18,250.0","18,100.0","18,350.0","18,100.0","4.35M","0.83%"
"22/11/2024","18,100.0","18,200.0","18,300.0","18,100.0","5.01M","-0.55%"
"21/11/2024","18,200.0","18,000.0","18,200.0","17,950.0","6.40M","1.68%"
"20/11/2024","17,900.0","17,900.0","18,150.0","17,750.0","9.34M","0.00%"
"19/11/2024","17,900.0","18,100.0","18,250.0","17,900.0","4.93M","-1.10%"
"18/11/2024","18,100.0","18,200.0","18,500.0","18,100.0","7.12M","-0.55%"
"15/11/2024","18,200.0","18,150.0","18,500.0","18,050.0","10.52M","0.55%"
"14/11/2024","18,100.0","18,100.0","18,650.0","18,100.0","11.40M","0.00%"
"13/11/2024","18,100.0","18,000.0","18,200.0","17,950.0","6.23M","0.56%"
"12/11/2024","18,000.0","17,850.0","18,200.0","17,850.0","4.57M","0.00%"
"11/11/2024","18,000.0","17,800.0","18,000.0","17,600.0","5.98M","0.28%"
"08/11/2024","17,950.0","18,150.0","18,150.0","17,750.0","4.49M","-0.55%"
"07/11/2024","18,050.0","18,200.0","18,300.0","18,050.0","2.77M","0.00%"
"06/11/2024","18,050.0","17,900.0","18,050.0","17,800.0","2.97M","1.69%"
"05/11/2024","17,750.0","17,600.0","17,850.0","17,600.0","2.63M","0.28%"
"04/11/2024","17,700.0","17,800.0","17,850.0","17,550.0","4.92M","-0.28%"
"01/11/2024","17,750.0","17,850.0","17,950.0","17,700.0","10.57M","-0.56%"
"31/10/2024","17,850.0","18,200.0","18,200.0","17,850.0","6.93M","-1.92%"
"30/10/2024","18,200.0","18,200.0","18,300.0","18,050.0","4.30M","0.28%"
"29/10/2024","18,150.0","18,150.0","18,300.0","18,100.0","3.82M","0.28%"
"28/10/2024","18,100.0","18,200.0","18,250.0","18,100.0","3.24M","-0.28%"
"25/10/2024","18,150.0","18,250.0","18,300.0","18,100.0","4.77M","0.00%"
"24/10/2024","18,150.0","18,700.0","18,700.0","18,150.0","10.65M","-2.68%"
"23/10/2024","18,650.0","18,650.0","19,050.0","18,600.0","6.22M","0.27%"
"22/10/2024","18,600.0","19,100.0","19,150.0","18,550.0","9.09M","-2.62%"
"21/10/2024","19,100.0","18,800.0","19,300.0","18,750.0","11.49M","1.87%"
"18/10/2024","18,750.0","18,950.0","19,100.0","18,750.0","5.08M","0.00%"
"17/10/2024","18,750.0","18,700.0","18,850.0","18,600.0","5.00M","0.27%"
"16/10/2024","18,700.0","18,800.0","18,900.0","18,650.0","4.19M","-0.53%"
"15/10/2024","18,800.0","19,150.0","19,200.0","18,800.0","6.68M","-1.83%"
"14/10/2024","19,150.0","19,400.0","19,600.0","19,050.0","11.56M","0.79%"
"11/10/2024","19,000.0","18,500.0","19,100.0","18,350.0","12.92M","2.98%"
"10/10/2024","18,450.0","18,600.0","18,700.0","18,450.0","3.63M","-0.27%"
"09/10/2024","18,500.0","18,300.0","18,500.0","18,250.0","3.29M","0.82%"
"08/10/2024","18,350.0","18,300.0","18,400.0","18,150.0","3.23M","0.55%"
"07/10/2024","18,250.0","18,450.0","18,500.0","18,150.0","4.88M","-0.27%"
"04/10/2024","18,300.0","18,650.0","18,650.0","18,250.0","9.50M","-1.88%"
"03/10/2024","18,650.0","19,150.0","19,250.0","18,600.0","14.46M","-2.61%"
"02/10/2024","19,150.0","19,250.0","19,350.0","19,100.0","5.08M","-1.29%"
"01/10/2024","19,400.0","19,150.0","19,550.0","19,100.0","9.87M","1.57%"
"30/09/2024","19,100.0","19,400.0","19,400.0","19,100.0","6.83M","-1.55%"
"27/09/2024","19,400.0","19,300.0","19,700.0","19,150.0","11.67M","1.04%"
"26/09/2024","19,200.0","19,250.0","19,400.0","19,150.0","6.64M","0.52%"
"25/09/2024","19,100.0","19,300.0","19,300.0","19,050.0","7.60M","0.26%"
"24/09/2024","19,050.0","19,050.0","19,100.0","18,900.0","5.92M","0.26%"
"23/09/2024","19,000.0","19,500.0","19,550.0","19,000.0","10.85M","-2.56%"
"20/09/2024","19,500.0","19,650.0","19,750.0","19,400.0","12.86M","0.26%"
"19/09/2024","19,450.0","19,250.0","19,450.0","19,200.0","4.72M","1.57%"
"18/09/2024","19,150.0","19,450.0","19,750.0","19,150.0","8.58M","-1.29%"
"17/09/2024","19,400.0","19,000.0","19,400.0","18,900.0","6.04M","2.65%"
"16/09/2024","18,900.0","19,300.0","19,400.0","18,900.0","5.65M","-2.07%"
"13/09/2024","19,300.0","19,100.0","19,400.0","18,850.0","4.99M","1.58%"
"12/09/2024","19,000.0","19,300.0","19,350.0","19,000.0","3.21M","-0.52%"
"11/09/2024","19,100.0","19,200.0","19,350.0","18,600.0","8.40M","-0.52%"
"10/09/2024","19,200.0","20,200.0","20,300.0","19,050.0","19.05M","-4.48%"
"09/09/2024","20,100.0","19,950.0","20,250.0","19,850.0","7.30M","0.00%"
"06/09/2024","20,100.0","19,750.0","20,100.0","19,400.0","11.27M","2.03%"
"05/09/2024","19,700.0","19,800.0","20,350.0","19,650.0","12.49M","0.00%"
"04/09/2024","19,700.0","19,000.0","19,700.0","18,850.0","11.53M","2.60%"
"30/08/2024","19,200.0","19,350.0","19,450.0","19,200.0","7.66M","-0.26%"
"29/08/2024","19,250.0","19,500.0","19,750.0","19,150.0","12.57M","-1.28%"
"28/08/2024","19,500.0","20,150.0","20,200.0","19,500.0","12.58M","-2.74%"
"27/08/2024","20,050.0","19,850.0","20,650.0","19,750.0","15.09M","1.01%"
"26/08/2024","19,850.0","19,700.0","20,100.0","19,600.0","10.39M","1.79%"
"23/08/2024","19,500.0","19,800.0","19,850.0","19,400.0","7.33M","-1.02%"
"22/08/2024","19,700.0","18,900.0","20,150.0","18,900.0","22.03M","4.23%"
"21/08/2024","18,900.0","18,750.0","18,900.0","18,650.0","6.21M","0.80%"
"20/08/2024","18,750.0","18,250.0","19,000.0","18,250.0","13.86M","2.46%"
"19/08/2024","18,300.0","18,450.0","18,450.0","18,200.0","6.79M","0.00%"
"16/08/2024","18,300.0","17,950.0","18,450.0","17,900.0","8.62M","2.81%"
"15/08/2024","17,800.0","18,050.0","18,250.0","17,800.0","7.87M","-1.11%"
"14/08/2024","18,000.0","17,500.0","18,150.0","17,500.0","12.34M","3.15%"
"13/08/2024","17,450.0","17,400.0","17,700.0","17,350.0","4.21M","0.29%"
"12/08/2024","17,400.0","17,450.0","17,650.0","17,250.0","4.95M","-0.57%"
"09/08/2024","17,500.0","17,800.0","17,800.0","17,350.0","4.71M","-0.85%"
"08/08/2024","17,650.0","17,900.0","18,000.0","17,450.0","8.49M","-1.94%"
"07/08/2024","18,000.0","17,700.0","18,150.0","17,650.0","21.45M","5.88%"
"06/08/2024","17,000.0","17,000.0","17,200.0","16,700.0","12.01M","1.19%"
"05/08/2024","16,800.0","17,750.0","17,850.0","16,800.0","13.63M","-6.41%"
"02/08/2024","17,950.0","17,950.0","18,150.0","17,750.0","9.31M","-1.37%"
"01/08/2024","18,200.0","18,650.0","18,850.0","17,800.0","13.06M","-2.15%"
"31/07/2024","18,600.0","18,800.0","19,100.0","18,550.0","6.99M","-0.80%"
"30/07/2024","18,750.0","18,850.0","18,950.0","18,550.0","10.13M","-1.06%"
"29/07/2024","18,950.0","19,400.0","19,550.0","18,950.0","9.49M","-1.81%"
"26/07/2024","19,300.0","19,800.0","19,850.0","19,200.0","14.28M","-2.03%"
"25/07/2024","19,700.0","20,100.0","20,450.0","19,700.0","14.31M","-2.23%"
"24/07/2024","20,150.0","20,050.0","20,200.0","19,800.0","5.26M","0.50%"
"23/07/2024","20,050.0","20,250.0","20,400.0","19,950.0","8.86M","0.00%"
"22/07/2024","20,050.0","19,900.0","20,150.0","19,600.0","7.59M","0.75%"
"19/07/2024","19,900.0","20,250.0","20,300.0","19,850.0","5.27M","-1.24%"
"18/07/2024","20,150.0","19,800.0","20,150.0","19,600.0","9.70M","2.03%"
"17/07/2024","19,750.0","20,300.0","20,350.0","19,750.0","17.51M","-2.23%"
"16/07/2024","20,200.0","20,400.0","20,550.0","20,150.0","10.32M","-0.74%"
"15/07/2024","20,350.0","20,900.0","20,950.0","20,350.0","11.25M","-1.93%"
"12/07/2024","20,750.0","20,750.0","21,250.0","20,650.0","8.55M","0.24%"
"11/07/2024","20,700.0","20,700.0","21,050.0","20,650.0","9.05M","0.73%"
"10/07/2024","20,550.0","20,600.0","21,050.0","20,550.0","9.61M","0.24%"
"09/07/2024","20,500.0","20,300.0","20,700.0","20,200.0","10.56M","0.99%"
"08/07/2024","20,300.0","20,800.0","20,800.0","20,300.0","18.45M","-2.40%"
"05/07/2024","20,800.0","21,400.0","21,400.0","20,700.0","19.51M","-2.12%"
"04/07/2024","21,250.0","21,300.0","21,700.0","21,100.0","11.94M","-0.23%"
"03/07/2024","21,300.0","21,550.0","21,600.0","20,950.0","34.02M","-1.84%"
"02/07/2024","21,700.0","21,900.0","22,000.0","21,600.0","8.41M","-0.69%"
"01/07/2024","21,850.0","20,700.0","21,850.0","20,600.0","13.75M","6.85%"
"28/06/2024","20,450.0","20,400.0","21,200.0","20,400.0","12.79M","0.25%"
"27/06/2024","20,400.0","20,800.0","20,950.0","20,350.0","7.61M","-1.92%"
"26/06/2024","20,800.0","21,500.0","21,500.0","20,750.0","5.89M","-2.35%"
"25/06/2024","21,300.0","20,100.0","21,300.0","20,050.0","25.46M","6.77%"
"24/06/2024","19,950.0","19,900.0","20,500.0","19,900.0","10.15M","-0.25%"
"21/06/2024","20,000.0","20,250.0","20,300.0","19,850.0","12.27M","-1.23%"
"20/06/2024","20,250.0","20,600.0","20,800.0","20,050.0","12.66M","-1.94%"
"19/06/2024","20,650.0","21,150.0","21,200.0","20,650.0","10.53M","-2.13%"
"18/06/2024","21,100.0","21,250.0","21,350.0","21,100.0","6.16M","-0.24%"
"17/06/2024","21,150.0","21,600.0","21,600.0","21,100.0","8.66M","-1.40%"
"14/06/2024","21,450.0","21,800.0","21,850.0","21,450.0","10.38M","-1.15%"
"13/06/2024","21,700.0","21,900.0","22,050.0","21,600.0","8.89M","-0.69%"
"12/06/2024","21,850.0","21,700.0","21,950.0","21,600.0","8.00M","0.69%"
"11/06/2024","21,700.0","22,150.0","22,250.0","21,650.0","11.75M","-1.81%"
