"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"11/05/2020","8,941.2","8,656.9","8,941.2","8,625.3","9.06M","4.81%"
"08/05/2020","8,530.5","8,340.9","8,720.1","8,340.9","11.56M","2.27%"
"07/05/2020","8,340.9","8,183.0","8,340.9","8,151.4","3.40M","1.93%"
"06/05/2020","8,183.0","8,056.6","8,214.6","8,025.0","2.45M","2.37%"
"05/05/2020","7,993.4","8,025.0","8,151.4","7,961.8","2.43M","-0.39%"
"04/05/2020","8,025.0","8,151.4","8,214.6","8,025.0","3.18M","-2.31%"
"29/04/2020","8,214.6","8,214.6","8,277.8","8,151.4","2.12M","0.39%"
"28/04/2020","8,183.0","8,277.8","8,277.8","8,088.2","3.78M","-1.15%"
"27/04/2020","8,277.8","8,435.7","8,435.7","8,246.2","3.08M","-1.13%"
"24/04/2020","8,372.5","8,372.5","8,435.7","8,246.2","2.20M","-0.38%"
"23/04/2020","8,404.1","8,530.5","8,720.1","8,404.1","3.79M","0.00%"
"22/04/2020","8,404.1","7,898.6","8,498.9","7,898.6","5.01M","3.50%"
"21/04/2020","8,119.8","8,404.1","8,498.9","8,056.6","6.48M","-6.20%"
"20/04/2020","8,656.9","8,625.3","8,720.1","8,498.9","4.86M","0.74%"
"17/04/2020","8,593.7","8,530.5","8,720.1","8,498.9","5.75M","1.87%"
"16/04/2020","8,435.7","8,340.9","8,562.1","8,277.8","3.80M","0.00%"
"15/04/2020","8,435.7","8,404.1","8,498.9","8,340.9","4.49M","1.14%"
"14/04/2020","8,340.9","8,246.2","8,340.9","8,056.6","5.70M","0.38%"
"13/04/2020","8,309.3","8,309.3","8,467.3","8,214.6","5.22M","-1.13%"
"10/04/2020","8,404.1","8,404.1","8,593.7","8,214.6","4.72M","0.76%"
"09/04/2020","8,340.9","8,214.6","8,340.9","8,183.0","8.04M","6.70%"
"08/04/2020","7,816.9","7,571.8","7,898.6","7,408.4","6.93M","1.41%"
"07/04/2020","7,708.0","7,898.6","7,925.9","7,626.3","10.80M","0.00%"
"06/04/2020","7,708.0","7,599.0","7,708.0","7,517.3","9.27M","6.79%"
"03/04/2020","7,217.7","7,027.0","7,217.7","6,972.6","7.70M","6.85%"
"01/04/2020","6,754.7","6,318.9","6,754.7","6,318.9","6.29M","6.90%"
"31/03/2020","6,318.9","6,346.1","6,509.6","6,046.5","2.85M","0.87%"
"30/03/2020","6,264.4","6,482.3","6,482.3","6,264.4","4.11M","-6.88%"
"27/03/2020","6,727.4","7,081.5","7,108.8","6,727.4","4.18M","-4.63%"
"26/03/2020","7,054.3","7,190.5","7,217.7","7,027.0","2.13M","-3.00%"
"25/03/2020","7,272.2","7,081.5","7,272.2","6,945.3","4.02M","6.80%"
"24/03/2020","6,809.2","7,054.3","7,081.5","6,645.7","5.10M","-3.10%"
"23/03/2020","7,027.0","7,190.5","7,299.4","7,027.0","5.58M","-6.86%"
"20/03/2020","7,544.5","7,626.3","7,653.5","7,408.4","4.86M","1.09%"
"19/03/2020","7,462.8","7,299.4","7,571.8","7,244.9","4.35M","0.00%"
"18/03/2020","7,462.8","7,844.1","7,844.1","7,408.4","5.40M","-3.52%"
"17/03/2020","7,735.2","7,136.0","7,735.2","6,972.6","8.19M","6.77%"
"16/03/2020","7,244.9","7,353.9","7,408.4","7,190.5","4.91M","0.00%"
"13/03/2020","7,244.9","6,918.1","7,490.1","6,918.1","7.59M","-1.85%"
"12/03/2020","7,381.1","7,517.3","7,626.3","7,353.9","7.80M","-6.55%"
"11/03/2020","7,898.6","8,634.0","8,634.0","7,898.6","6.12M","-6.75%"
"10/03/2020","8,470.6","8,116.5","8,525.1","8,116.5","5.71M","0.00%"
"09/03/2020","8,470.6","8,470.6","8,606.8","8,470.6","6.06M","-6.89%"
"06/03/2020","9,097.0","9,124.3","9,124.3","8,960.8","2.31M","-0.60%"
"05/03/2020","9,151.5","9,015.3","9,233.2","8,960.8","5.59M","3.38%"
"04/03/2020","8,851.9","8,715.7","8,960.8","8,661.2","4.83M","1.88%"
"03/03/2020","8,688.5","8,770.2","8,851.9","8,688.5","3.54M","0.95%"
"02/03/2020","8,606.8","8,743.0","8,770.2","8,579.5","3.58M","-0.63%"
"28/02/2020","8,661.2","8,797.4","8,824.7","8,606.8","3.37M","-3.64%"
"27/02/2020","8,988.1","8,715.7","8,988.1","8,688.5","2.52M","2.48%"
"26/02/2020","8,770.2","8,715.7","9,097.0","8,661.2","1.76M","-1.83%"
"25/02/2020","8,933.6","8,634.0","8,960.8","8,634.0","2.87M","0.92%"
"24/02/2020","8,851.9","9,287.7","9,342.2","8,851.9","5.90M","-6.88%"
"21/02/2020","9,505.6","9,587.3","9,614.5","9,505.6","2.03M","-0.85%"
"20/02/2020","9,587.3","9,641.8","9,723.5","9,532.8","2.82M","0.00%"
"19/02/2020","9,587.3","9,587.3","9,614.5","9,505.6","2.83M","0.28%"
"18/02/2020","9,560.1","9,614.5","9,641.8","9,478.3","2.50M","-0.57%"
"17/02/2020","9,614.5","9,696.2","9,777.9","9,614.5","3.31M","-0.84%"
"14/02/2020","9,696.2","9,587.3","9,723.5","9,532.8","1.87M","1.14%"
"13/02/2020","9,587.3","9,587.3","9,641.8","9,560.1","2.14M","-1.12%"
"12/02/2020","9,696.2","9,532.8","9,696.2","9,532.8","4.72M","2.01%"
"11/02/2020","9,505.6","9,560.1","9,587.3","9,478.3","2.58M","-0.57%"
"10/02/2020","9,560.1","9,369.4","9,587.3","9,151.5","1.31M","-0.85%"
"07/02/2020","9,641.8","9,641.8","9,777.9","9,532.8","4.34M","0.00%"
"06/02/2020","9,641.8","9,260.4","9,641.8","9,206.0","4.86M","4.43%"
"05/02/2020","9,233.2","9,314.9","9,396.6","9,206.0","3.66M","-0.29%"
"04/02/2020","9,260.4","9,314.9","9,396.6","9,151.5","3.02M","-0.29%"
"03/02/2020","9,287.7","9,151.5","9,314.9","8,988.1","5.32M","-3.67%"
"31/01/2020","9,641.8","9,859.7","9,968.6","9,396.6","7.55M","-4.32%"
"30/01/2020","10,077.5","10,322.7","10,322.7","9,859.7","4.09M","-4.15%"
"22/01/2020","10,513.3","10,486.1","10,567.8","10,431.6","2.93M","0.26%"
"21/01/2020","10,486.1","10,404.4","10,595.0","10,377.1","2.61M","0.00%"
"20/01/2020","10,486.1","10,486.1","10,486.1","10,349.9","2.18M","0.00%"
"17/01/2020","10,486.1","10,458.9","10,622.3","10,349.9","4.80M","0.79%"
"16/01/2020","10,404.4","10,023.1","10,404.4","10,023.1","4.04M","3.80%"
"15/01/2020","10,023.1","10,050.3","10,050.3","9,968.6","1.41M","0.00%"
"14/01/2020","10,023.1","9,968.6","10,050.3","9,941.4","1.81M","0.55%"
"13/01/2020","9,968.6","9,914.1","10,077.5","9,914.1","1.91M","0.00%"
"10/01/2020","9,968.6","9,805.2","9,995.8","9,750.7","3.50M","1.95%"
"09/01/2020","9,777.9","9,777.9","9,832.4","9,723.5","1.95M","1.13%"
"08/01/2020","9,669.0","9,832.4","9,859.7","9,560.1","4.44M","-2.74%"
"07/01/2020","9,941.4","9,914.1","9,968.6","9,886.9","1.09M","0.28%"
"06/01/2020","9,914.1","9,886.9","9,968.6","9,832.4","2.28M","-0.27%"
"03/01/2020","9,941.4","10,077.5","10,132.0","9,886.9","1.19M","-0.82%"
"02/01/2020","10,023.1","9,859.7","10,023.1","9,832.4","1.68M","1.94%"
